"comprimento_asa","peso","local"
22.03,89.06,"dinamarca"
24.83,100.49,"dinamarca"
21.62,87.37,"dinamarca"
19.47,77.55,"dinamarca"
23.02,90.96,"dinamarca"
18.51,73.81,"dinamarca"
25.84,105.08,"dinamarca"
24.13,100.62,"dinamarca"
23.95,98.34,"dinamarca"
20.55,84.29,"dinamarca"
21.18,86.45,"dinamarca"
20.49,85.93,"dinamarca"
22.58,92.45,"dinamarca"
25.11,99.14,"dinamarca"
22.2,92,"dinamarca"
20.98,86.22,"dinamarca"
21.51,90.17,"dinamarca"
25.95,104.79,"dinamarca"
25.1,103.86,"dinamarca"
23.21,94.4,"dinamarca"
25.3,103.78,"dinamarca"
22.83,93.85,"dinamarca"
21.06,87.31,"dinamarca"
22.55,92.39,"dinamarca"
21.14,88.23,"dinamarca"
22.47,89.61,"dinamarca"
23.35,96.81,"dinamarca"
22.43,90.31,"dinamarca"
21.64,89.96,"dinamarca"
19.34,75.65,"dinamarca"
17.77,72.17,"dinamarca"
20.11,83.82,"dinamarca"
23.27,97.8,"dinamarca"
21.55,89.99,"dinamarca"
23.78,96.03,"dinamarca"
20,82.93,"dinamarca"
20.91,85.61,"dinamarca"
21.39,90.33,"dinamarca"
24.07,101.16,"dinamarca"
20.62,82.65,"dinamarca"
20.92,82.91,"dinamarca"
19.3,79.78,"dinamarca"
19.39,80.85,"dinamarca"
26.35,108.23,"dinamarca"
20.76,86.1,"dinamarca"
20.97,85.75,"dinamarca"
23.53,94.96,"dinamarca"
22.72,96.96,"dinamarca"
21.57,85.02,"dinamarca"
22,90.82,"dinamarca"
28.76,120.18,"islandia"
33.28,139.75,"islandia"
35.55,154.26,"islandia"
30.1,121.93,"islandia"
33.05,135.54,"islandia"
30.41,122.73,"islandia"
31.86,127.42,"islandia"
34.44,149.31,"islandia"
35.2,146.75,"islandia"
29.3,126.84,"islandia"
32.82,129.11,"islandia"
29.5,126.15,"islandia"
31.17,126.33,"islandia"
34.84,140.17,"islandia"
33.68,138.97,"islandia"
38.99,159.11,"islandia"
29.73,125.97,"islandia"
30.7,125.78,"islandia"
31.47,127.99,"islandia"
31.62,129.29,"islandia"
31.74,132.29,"islandia"
31.71,128.56,"islandia"
31.85,128.5,"islandia"
30.31,122.62,"islandia"
30.29,124.95,"islandia"
36.23,141.36,"islandia"
31.6,131.07,"islandia"
32.4,130.25,"islandia"
32.83,135.64,"islandia"
30.56,128.73,"islandia"
30.61,127.38,"islandia"
29.57,119.05,"islandia"
31.13,122.13,"islandia"
27.53,110.4,"islandia"
30.12,120.95,"islandia"
32.05,122.83,"islandia"
35.69,141.7,"islandia"
34.02,143.19,"islandia"
31.18,120.6,"islandia"
28.01,111.17,"islandia"
30.1,116.74,"islandia"
32.6,141.35,"islandia"
31.19,125.65,"islandia"
32.6,129.55,"islandia"
34.03,145.52,"islandia"
28.84,117.24,"islandia"
31.92,133.08,"islandia"
31.5,132.73,"islandia"
31.58,127.23,"islandia"
34.17,141.94,"islandia"
38.63,192.44,"noruega"
34.94,177.58,"noruega"
38.81,196.4,"noruega"
37.74,190.86,"noruega"
35.99,184.41,"noruega"
37.81,197.86,"noruega"
40.25,209.75,"noruega"
36.41,190.91,"noruega"
38.39,198.52,"noruega"
40.61,207.59,"noruega"
36.78,182.54,"noruega"
39.86,205.25,"noruega"
39.15,199.47,"noruega"
36.95,191.02,"noruega"
36.95,187.68,"noruega"
36.86,189.83,"noruega"
40.94,214.2,"noruega"
36.06,178.28,"noruega"
37.58,189.85,"noruega"
36.85,187.49,"noruega"
36.71,190.83,"noruega"
38.17,199.29,"noruega"
37.83,189.55,"noruega"
32.28,167.28,"noruega"
36.87,188.46,"noruega"
40.46,202.27,"noruega"
37.56,193.32,"noruega"
36,183.12,"noruega"
34.17,174.91,"noruega"
36.66,184.44,"noruega"
34.48,182.96,"noruega"
40.25,209.39,"noruega"
37.28,186.54,"noruega"
41.47,215.95,"noruega"
39.1,206.03,"noruega"
36.52,190.61,"noruega"
39.39,200.09,"noruega"
35.6,178.4,"noruega"
37.95,188.4,"noruega"
39.82,201.53,"noruega"
37.76,193.91,"noruega"
37.55,195.3,"noruega"
38.25,199.62,"noruega"
39.18,197.62,"noruega"
36.21,191.83,"noruega"
37.48,191.04,"noruega"
37.94,193.13,"noruega"
39.43,200.98,"noruega"
37.79,197.15,"noruega"
39,203.56,"noruega"
21.9,185.71,"suecia"
24.5,180.98,"suecia"
24.02,183.22,"suecia"
20.76,181.44,"suecia"
22,173.15,"suecia"
30.48,182.2,"suecia"
24.38,181,"suecia"
18.81,178.79,"suecia"
19.33,177.37,"suecia"
27.36,176.91,"suecia"
20.83,175.79,"suecia"
25.87,177.17,"suecia"
14.85,179.06,"suecia"
21.34,179.02,"suecia"
20.84,170.58,"suecia"
22.79,175.54,"suecia"
24.45,180.4,"suecia"
18.79,176.68,"suecia"
27.26,188.27,"suecia"
24.65,178.22,"suecia"
23.67,184.55,"suecia"
20.6,185.27,"suecia"
18.65,176.79,"suecia"
22.3,177.07,"suecia"
20.65,181.68,"suecia"
18.08,175.88,"suecia"
21.29,177.26,"suecia"
24.28,189.2,"suecia"
22.53,185.37,"suecia"
24.04,181.5,"suecia"
26.8,178.31,"suecia"
19.3,182.22,"suecia"
23.84,177.04,"suecia"
24.59,175.58,"suecia"
24.24,180.72,"suecia"
25.57,182.3,"suecia"
20.39,182.57,"suecia"
22.65,184.56,"suecia"
20.65,170.98,"suecia"
20.13,172.23,"suecia"
